{{Mod
|id                               = ChanceToAvoidFireDamageUnique__1
|mod_groups                       = FireDamageAvoidance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FireDamageAvoidance
|stat_text                        = 25% chance to Avoid [[Fire Damage]] from [[Hit|Hits]]
|stat1_id                         = avoid_fire_damage_%
|stat1_min                        = 25
|stat1_max                        = 25
|tags                             = elemental, fire
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
