{{Mod
|id                               = DoubleMinionLimitsUnique_1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 100
|mod_groups                       = MaximumMinionCount
|mod_type                         = DoubleMinionLimitsUnique
|game_mode                        = 0
|stat_text                        = Maximum number of Summoned Spectral Wolves is Doubled<br />Cannot have [[Minion|Minions]] other than Summoned Spectral Wolves
|stat1_id                         = maximum_number_of_X_minion_type_doubled
|stat1_min                        = 1
|stat1_max                        = 14
}}
