{{Mod
|id                               = EinharMasterMinionDamageOnWeapon2h2
|mod_groups                       = WeaponCasterDamagePrefix
|domain                           = 9
|generation_type                  = 1
|required_level                   = 60
|name                             = Upgraded
|mod_type                         = MinionDamageOnWeapon
|stat_text                        = [[Minion|Minions]] deal (52-66)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 52
|stat1_max                        = 66
|tags                             = damage, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
