{{Mod
|id                               = V2CurseEffectOnYouJewelCorrupted
|mod_groups                       = ReducedCurseEffect
|domain                           = 10
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = CurseEffectOnYouJewel
|stat_text                        = (25-20)% reduced Effect of [[Curse|Curses]] on you
|stat1_id                         = curse_effect_on_self_+%
|stat1_min                        = -25
|stat1_max                        = -20
|spawn_weight1_tag                = jewel
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
