{{Mod
|id                               = LocalAddedFireDamageEnhancedLevel50Mod
|mod_groups                       = FireDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 50
|name                             = Topotante's
|mod_type                         = LocalFireDamageAndPen
|stat_text                        = Adds (45-61) to (91-106) [[Fire Damage]]<br>[[Attack|Attacks]] with this Weapon Penetrate (5-7)% [[Fire Resistance]]
|stat1_id                         = local_minimum_added_fire_damage
|stat1_min                        = 45
|stat1_max                        = 61
|stat2_id                         = local_maximum_added_fire_damage
|stat2_min                        = 91
|stat2_max                        = 106
|stat3_id                         = local_fire_penetration_%
|stat3_min                        = 5
|stat3_max                        = 7
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental_damage, damage, elemental, fire, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
