{{Mod
|id                               = SocketedAttackCriticalMultiplierUber2
|domain                           = 1
|generation_type                  = 2
|required_level                   = 75
|name                             = of the Elder
|mod_groups                       = SocketedCriticalMultiplier
|granted_skill                    = ModSupportSocketedAttacksCriticalStrikeMultiplier
|mod_type                         = SocketedAttackCriticalMultiplier
|game_mode                        = 0
|stat_text                        = [[Item socket|Socketed]] [[Attack|Attacks]] have +50% to [[Critical Strike Multiplier]]
|stat1_id                         = local_display_socketed_attacks_critical_strike_multiplier_+
|stat1_min                        = 50
|stat1_max                        = 50
|spawn_weight1_tag                = gloves_elder
|spawn_weight1_value              = 400
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = skill, influence_mod, damage, attack, critical, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
