{{Mod
|id                               = StarterPassiveJewelUnique__11__
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = StarterPassiveJewel
|mod_type                         = StarterPassiveJewel11
|game_mode                        = 0
|stat_text                        = While your [[Passive skill|Passive Skill]] Tree connects to the Shadow's starting location, you gain:<br />12% increased [[Attack]] and [[Cast Speed]]
|stat1_id                         = local_unique_jewel_attack_and_cast_speed_+%_with_passive_tree_connected_to_shadow_start
|stat1_min                        = 12
|stat1_max                        = 12
|tags                             = attack, caster, speed
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
