{{Mod
|id                               = IceGolemBuffEffectEldritchImplicit1
|mod_groups                       = GolemBuffEffect
|domain                           = 1
|generation_type                  = 28
|required_level                   = 75
|mod_type                         = IceGolemBuffEffect
|stat_text                        = (31-33)% increased Effect of the Buff granted by your [[Summon Ice Golem|Ice Golems]]
|stat1_id                         = base_ice_golem_granted_buff_effect_+%
|stat1_min                        = 31
|stat1_max                        = 33
|spawn_weight1_tag                = no_tier_6_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = boots
|spawn_weight2_value              = 300
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
}}
