{{Mod
|id                               = LocalIncreaseSocketedGemLevelUnique__9
|mod_groups                       = IncreaseSocketedGemLevel
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LocalIncreaseSocketedGemLevel
|stat_text                        = +(5-8) to [[Level]] of [[Item socket|Socketed]] Gems
|stat1_id                         = local_socketed_gem_level_+
|stat1_min                        = 5
|stat1_max                        = 8
|tags                             = gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
