{{Mod
|id                               = AreaDamageSupportedUberMaven
|mod_groups                       = AreaDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 92
|name                             = Elevated Elder's
|granted_skill                    = SupportConcentratedEffect
|mod_type                         = AreaDamageSupported
|stat_text                        = (23-25)% increased Area Damage<br>[[Item socket|Socketed]] Gems are Supported by [[Concentrated Effect Support|Level 25 Concentrated Effect]]
|stat1_id                         = area_damage_+%
|stat1_min                        = 23
|stat1_max                        = 25
|stat2_id                         = local_display_socketed_gems_get_concentrated_area_level
|stat2_min                        = 25
|stat2_max                        = 25
|spawn_weight1_tag                = helmet_elder
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, damage, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
