{{Mod
|id                               = LinkSkillEffectDurationUnique__1
|mod_groups                       = SkillEffectDuration
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LinkSkillEffectDuration
|stat_text                        = Link [[Skill|Skills]] have (10-15)% increased [[Skill]] Effect Duration
|stat1_id                         = link_skill_duration_+%
|stat1_min                        = 10
|stat1_max                        = 15
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
