{{Mod
|id                               = CurseEffectivenessUnique__2_
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CurseEffectiveness
|mod_type                         = CurseEffectiveness
|game_mode                        = 0
|stat_text                        = (15-20)% increased Effect of your [[Curse|Curses]]
|stat1_id                         = curse_effect_+%
|stat1_min                        = 15
|stat1_max                        = 20
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
