{{Base item
|rarity_id                               = normal
|name                                    = Vinia's Token
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = You can change your name, but you cannot change your history.
|drop_level                              = 68
|tags                                    = currency_divination, currency_basic_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardViniasToken
|stack_size                              = 5
|description                             = {{c|currency|10x {{il|html=|Orb of Regret}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
