{{Base item
|rarity_id                               = normal
|name                                    = The Insane Cat
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = One person's madness is another person's reality.
|drop_level                              = 68
|tags                                    = jewellery_divination, unique_divination, corrupted_divination, unique_corrupted_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheInsaneCat
|stack_size                              = 9
|description                             = {{c|unique|{{il|html=|Mageblood}}}}<br>{{c|default|Item Level:}} {{c|normal|84}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
