{{Passive skill
|id                                  = crystal_skin698
|int_id                              = 40743
|name                                = Crystal Skin
|is_notable                          = True
|icon                                = diamondskin
|stat1_id                            = avoid_all_elemental_status_%
|stat1_value                         = 20
|stat2_id                            = additional_maximum_all_elemental_resistances_%
|stat2_value                         = 1
|stat_text                           = 20% chance to Avoid Elemental Ailments<br>+1% to all maximum [[Elemental Resistance|Elemental Resistances]]
|connections                         = avoid_burning561,avoid_freeze562,avoid_shock557,mastery_resistance259
}}
