{{Passive skill
|id                                  = two_hand_damage_notable1733
|int_id                              = 27301
|name                                = Martial Experience
|is_notable                          = True
|icon                                = MartialExperience
|stat1_id                            = two_handed_melee_physical_damage_+%
|stat1_value                         = 30
|stat2_id                            = two_handed_melee_weapon_ailment_damage_+%
|stat2_value                         = 30
|stat3_id                            = life_leech_speed_+%
|stat3_value                         = 100
|stat4_id                            = enemy_phys_reduction_%_penalty_vs_hit
|stat4_value                         = 12
|stat_text                           = 30% increased [[Physical Damage]] with [[Two Handed Melee Weapons]]<br>[[Attack|Attacks]] with [[Two Handed Melee Weapons]] deal 30% increased Damage with Ailments<br>100% increased total Recovery per second from [[Life]] [[Leech]]<br>Overwhelm 12% [[Physical Damage]] Reduction
|connections                         = two_handed_weapon_damage_and_accuracy9,mastery_twohand243,two_handed_weapon_damage1772,two_handed_weapon_damage_and_accuracy9
}}
