{{Mod
|id                               = HellscapeUpsideFlaskChargesGained3_
|domain                           = 1
|generation_type                  = 24
|required_level                   = 68
|mod_groups                       = BeltFlaskCharges
|mod_type                         = BeltIncreasedFlaskChargesGained
|game_mode                        = 0
|stat_text                        = (18-20)% increased [[Flask]] [[Charge|Charges]] gained
|stat1_id                         = charges_gained_+%
|stat1_min                        = 18
|stat1_max                        = 20
|spawn_weight1_tag                = belt
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
