{{Passive skill
|id                                  = elemental_overload_keystone2152
|int_id                              = 22088
|name                                = Elemental Overload
|flavour_text                        = You are not a vanishing spark, but a patient ember waiting to seed a great fire.
|is_keystone                         = True
|icon                                = KeystoneElementalOverload
|stat1_id                            = keystone_elemental_overload
|stat1_value                         = 1
|stat_text                           = [[Skill|Skills]] that have dealt a [[Critical Strike]] in the past 8 seconds deal 40% more [[Elemental Damage]] with [[Hit|Hits]] and Ailments<br />Your Critical Strikes do not deal extra Damage<br />Ailments never count as being from Critical Strikes
|connections                         = intelligence911,intelligence911
}}
