{{Mod
|id                               = CritChanceWithSwordJewel
|mod_groups                       = SpecificWeaponCritChance
|domain                           = 10
|generation_type                  = 1
|required_level                   = 1
|name                             = of Stinging FIX ME
|mod_type                         = CritChanceWithSwordForJewel
|stat_text                        = (12-16)% increased [[Critical Strike Chance]] with [[Sword|Swords]]
|stat1_id                         = sword_critical_strike_chance_+%
|stat1_min                        = 12
|stat1_max                        = 16
|spawn_weight1_tag                = sword
|spawn_weight1_value              = 0
|spawn_weight2_tag                = specific_weapon
|spawn_weight2_value              = 0
|spawn_weight3_tag                = not_int
|spawn_weight3_value              = 0
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = attack, critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
