{{Mod
|id                               = DamageWithBowSkillsEssence3a
|mod_groups                       = DamageWithWeaponTypeSkill
|domain                           = 1
|generation_type                  = 1
|required_level                   = 26
|name                             = Essences
|mod_type                         = DamageWithBowSkills
|stat_text                        = (21-25)% increased Damage with [[Bow]] [[Skill|Skills]]
|stat1_id                         = damage_+%_with_bow_skills
|stat1_min                        = 21
|stat1_max                        = 25
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = damage
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
