{{Mod
|id                               = WarcryAreaOfEffectUnique__2
|domain                           = 1
|generation_type                  = 3
|required_level                   = 75
|mod_groups                       = AreaOfEffect
|mod_type                         = WarcryAreaOfEffect
|game_mode                        = 0
|stat_text                        = Warcry [[Skill|Skills]] have (15-25)% increased Area of Effect
|stat1_id                         = warcry_skill_area_of_effect_+%
|stat1_min                        = 15
|stat1_max                        = 25
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
