{{Mod
|id                               = NecropolisHinder3
|mod_groups                       = NecropolisHinder
|domain                           = 36
|generation_type                  = 34
|required_level                   = 40
|mod_type                         = NecropolisHinder
|stat_text                        = Hinder Enemies on [[Hit]] with [[Spell|Spells]]
|stat1_id                         = spells_chance_to_hinder_on_hit_%
|stat1_min                        = 100
|stat1_max                        = 100
|stat2_id                         = monster_necropolis_mod_value_+%
|stat2_min                        = 80
|stat2_max                        = 80
|spawn_weight1_tag                = default
|spawn_weight1_value              = 200
}}
