{{Passive skill
|id                                  = axe_damage109
|int_id                              = 20018
|name                                = Axe Damage
|icon                                = damageaxe
|stat1_id                            = physical_axe_damage_+%
|stat1_value                         = 18
|stat2_id                            = axe_ailment_damage_+%
|stat2_value                         = 18
|stat_text                           = 18% increased [[Physical Damage]] with [[Axe|Axes]]<br>[[Axe]] [[Attack|Attacks]] deal 18% increased Damage with Ailments
|connections                         = axe_damage110,axe_damage110,axe_damage_and_accuracy106
}}
