{{Base item
|rarity_id                               = normal
|name                                    = The Formless Sea
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Formless might,<br>Wild beauty tamed,<br>The brine of gods,<br>The seas restrained.
|drop_level                              = 51
|tags                                    = weapon_divination, unique_divination, unique_weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheFormlessSea
|stack_size                              = 7
|description                             = {{c|unique|{{il|html=|Varunastra}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
