{{Mod
|id                               = VaalSkillDamageJewelCorrupted
|mod_groups                       = VaalSkillDamage
|domain                           = 10
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = VaalSkillDamage
|stat_text                        = (5-10)% increased Damage with Vaal [[Skill|Skills]]
|stat1_id                         = vaal_skill_damage_+%
|stat1_min                        = 5
|stat1_max                        = 10
|spawn_weight1_tag                = jewel
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = damage, vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
