{{Base item
|rarity_id                               = normal
|name                                    = The One That Got Away
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Savor life's missing pieces.<br>To complete one's final goal<br>is to take one's last breath.
|drop_level                              = 78
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheOneThatGotAway
|stack_size                              = 7
|description                             = {{c|unique|{{il|html=|Replica Bated Breath}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
