{{Mod
|id                               = JunMasterFlaskEffect1
|domain                           = 9
|generation_type                  = 1
|required_level                   = 1
|name                             = Upgraded
|mod_groups                       = FlaskEffect
|mod_type                         = FlaskEffect
|game_mode                        = 0
|stat_text                        = [[Flask|Flasks]] applied to you have (3-4)% increased Effect
|stat1_id                         = flask_effect_+%
|stat1_min                        = 3
|stat1_max                        = 4
|spawn_weight1_tag                = belt
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = flask, unveiled_mod
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
