{{Passive skill
|id                                  = AscendancyHeirophant14
|int_id                              = 40510
|name                                = Arcane Blessing
|ascendancy_class                    = Hierophant
|is_notable                          = True
|icon                                = ArcaneSurge (Hierophant)
|stat1_id                            = gain_arcane_surge_on_spell_hit_by_you_or_your_totems
|stat1_value                         = 1
|stat2_id                            = arcane_surge_on_you_spell_damage_+%_final_from_hierophant
|stat2_value                         = 20
|stat_text                           = Gain Arcane Surge when you or your [[Totem|Totems]] [[Hit]] an Enemy with a [[Spell]]<br>Arcane Surge grants 20% more [[Spell Damage]] to you
|connections                         = AscendancyHeirophant13,AscendancyHeirophant1
}}
