{{Mod
|id                               = EinharMasterAllResistMinionResist2
|mod_groups                       = AllResistances
|domain                           = 9
|generation_type                  = 2
|required_level                   = 60
|name                             = of Craft
|mod_type                         = AllResistancesMinionResistances
|stat_text                        = +(7-9)% to all [[Elemental Resistance|Elemental Resistances]]<br>[[Minion|Minions]] have +(9-12)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 7
|stat1_max                        = 9
|stat2_id                         = minion_elemental_resistance_%
|stat2_min                        = 9
|stat2_max                        = 12
|tags                             = elemental, resistance, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
