{{Passive skill
|id                                  = one_handed_damage715
|int_id                              = 39786
|name                                = One Handed Melee Damage
|icon                                = onehanddamage
|stat1_id                            = one_handed_melee_physical_damage_+%
|stat1_value                         = 16
|stat2_id                            = one_handed_melee_weapon_ailment_damage_+%
|stat2_value                         = 16
|stat_text                           = 16% increased [[Physical Damage]] with One Handed Melee Weapons<br>[[Attack|Attacks]] with One Handed Melee Weapons deal 16% increased Damage with Ailments
|connections                         = attack_speed1889,one_handed_notable1596
}}
