{{Mod
|id                               = SocketedFireGemLevelInfluenceMaven
|domain                           = 1
|generation_type                  = 1
|required_level                   = 78
|name                             = Elevated Warlord's
|mod_groups                       = IncreaseSpecificSocketedGemLevel
|mod_type                         = LocalIncreaseSocketedFireGemLevelMaven
|game_mode                        = 0
|stat_text                        = +2 to [[Level]] of [[Item socket|Socketed]] Fire Gems<br>+(3-7)% to Quality of [[Item socket|Socketed]] Fire Gems
|stat1_id                         = local_socketed_fire_gem_level_+
|stat1_min                        = 2
|stat1_max                        = 2
|stat2_id                         = local_socketed_fire_gem_quality_+
|stat2_min                        = 3
|stat2_max                        = 7
|spawn_weight1_tag                = boots_adjudicator
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = influence_mod, elemental, fire, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
