{{Mod
|id                               = ShockProliferationUnique__1
|mod_groups                       = ShockProliferation
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ShockProliferation
|stat_text                        = [[Shock|Shocks]] you inflict spread to other Enemies within 1.5 metres
|stat1_id                         = gloves_shock_proliferation_radius
|stat1_min                        = 15
|stat1_max                        = 15
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
