{{Mod
|id                               = MonsterAdditionalTotem1
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AdditionalTotems
|mod_type                         = AdditionalTotems
|game_mode                        = 0
|stat_text                        = +1 to maximum number of Summoned [[Totem|Totems]] (Hidden)
|stat1_id                         = number_of_additional_totems_allowed
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
