{{Passive skill
|id                                  = affliction_notable_weight_advantage
|int_id                              = 4205
|name                                = Weight Advantage
|is_notable                          = True
|icon                                = MaceandStaffDamage
|stat1_id                            = base_strength
|stat1_value                         = 20
|stat2_id                            = mace_or_staff_hit_and_ailment_damage_+%
|stat2_value                         = 30
|stat3_id                            = double_damage_%_chance_while_wielding_mace_sceptre_staff
|stat3_value                         = 4
|stat_text                           = +20 to [[Strength]]<br>Mace, Sceptre or [[Staff]] [[Attack|Attacks]] deal 30% increased Damage with [[Hit|Hits]] and Ailments<br>4% chance to deal Double Damage while wielding a Mace, Sceptre or [[Staff]]
}}
