{{Mod
|id                               = MineCritMultiplier
|mod_groups                       = FormCritMultiplier
|domain                           = 10
|generation_type                  = 1
|required_level                   = 1
|name                             = Incapacitating
|mod_type                         = MineCritMultiplierForJewel
|stat_text                        = +(8-10)% to [[Critical Strike Multiplier]] with [[Mine|Mines]]
|stat1_id                         = mine_critical_strike_multiplier_+
|stat1_min                        = 8
|stat1_max                        = 10
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = damage, critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
