{{Passive skill
|id                                  = AscendancySaboteur2
|int_id                              = 16940
|name                                = Pyromaniac
|ascendancy_class                    = Saboteur
|is_notable                          = True
|icon                                = BlindedAssult (Saboteur)
|stat1_id                            = life_regeneration_rate_per_minute_%_per_trap_triggered_recently_up_to_20%
|stat1_value                         = 120
|stat2_id                            = life_regeneration_rate_per_minute_%_per_mine_detonated_recently_up_to_20%
|stat2_value                         = 120
|stat3_id                            = immune_to_ignite_and_shock
|stat3_value                         = 1
|stat_text                           = Regenerate 2% of [[Life]] per Second for each [[Trap]] Triggered Recently, up to 10% per second<br>Regenerate 2% of [[Life]] per second for each [[Mine]] Detonated Recently, up to 10% per second<br>Immune to [[Ignite]] and [[Shock]]
|connections                         = AscendancySaboteur9,AscendancySaboteur7,AscendancySaboteur7,AscendancySaboteur9
}}
