{{Mod
|id                               = AbyssAddedLightningSuffixJewel1
|mod_groups                       = AddedLightningSuffix
|domain                           = 13
|generation_type                  = 2
|required_level                   = 35
|name                             = of Static
|mod_type                         = AddedLightningSuffix
|stat_text                        = Adds 1 to (19-20) [[Lightning Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_lightning_damage
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = attack_maximum_added_lightning_damage
|stat2_min                        = 19
|stat2_max                        = 20
|spawn_weight1_tag                = abyss_jewel_melee
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = abyss_jewel_ranged
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental_damage, damage, elemental, lightning, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
