{{Mod
|id                               = PhysicalTakenAsColdUniqueFlask8
|mod_groups                       = PhysicalTakenAsColdFlask
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PhysicalTakenAsColdFlask
|stat_text                        = (10-15)% of [[Physical Damage]] from [[Hit|Hits]] taken as [[Cold Damage]] during Effect
|stat1_id                         = local_unique_flask_physical_damage_taken_%_as_cold_while_healing
|stat1_min                        = 10
|stat1_max                        = 15
|tags                             = flask, physical, elemental, cold
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
