{{Mod
|id                               = TinctureShatterOnKill2
|mod_groups                       = WeaponShatterOnKill
|domain                           = 34
|generation_type                  = 2
|required_level                   = 45
|name                             = of the Snow Forest
|mod_type                         = WeaponShatterOnKill
|stat_text                        = Killing Blows have (36-45)% chance to [[Shatter]] Enemies as though [[Freeze|Frozen]]
|stat1_id                         = shatter_on_weapon_kill_chance_%
|stat1_min                        = 36
|stat1_max                        = 45
|spawn_weight1_tag                = tincture
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
