{{Mod
|id                               = TrapCritChanceUnique__1
|mod_groups                       = FormCritChance
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = TrapCritChanceForJewel
|stat_text                        = (100-120)% increased [[Critical Strike Chance]] with [[Trap|Traps]]
|stat1_id                         = trap_critical_strike_chance_+%
|stat1_min                        = 100
|stat1_max                        = 120
|tags                             = critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
