{{Passive skill
|id                                  = AscendancyChieftan11
|int_id                              = 53095
|name                                = Tukohama, War's Herald
|ascendancy_class                    = Chieftain
|is_notable                          = True
|icon                                = TukomahaWarsHerald (Chieftain)
|stat1_id                            = chieftain_body_armour_supported_by_level_x_ancestral_call
|stat1_value                         = 30
|stat2_id                            = chieftain_body_armour_supported_by_level_x_fist_of_war
|stat2_value                         = 20
|stat_text                           = [[Skill|Skills]] from Equipped Body [[Armour]] are Supported by [[Level]] 30 Ancestral Call<br>[[Skill|Skills]] from Equipped Body [[Armour]] are Supported by [[Level]] 20 Fist of War
|connections                         = AscendancyChieftan1
}}
