{{Passive skill
|id                                  = affliction_notable_tempered_arrowheads
|int_id                              = 38563
|name                                = Tempered Arrowheads
|is_notable                          = True
|icon                                = BowDamage
|stat1_id                            = dot_multiplier_+_with_bow_skills
|stat1_value                         = 6
|stat2_id                            = skill_effect_duration_+%_with_bow_skills
|stat2_value                         = 10
|stat3_id                            = status_ailments_you_inflict_duration_+%_with_bows
|stat3_value                         = 10
|stat_text                           = [[Bow]] [[Skill|Skills]] have +6% to Damage over Time Multiplier<br>[[Bow]] [[Skill|Skills]] have 10% increased [[Skill]] Effect Duration<br>10% increased Duration of Ailments inflicted while wielding a [[Bow]]
}}
