{{Mod
|id                               = WeaponTreeMinionAddedLightning2h2
|mod_groups                       = MinionAddedLightningDamage
|domain                           = 1
|generation_type                  = 31
|required_level                   = 26
|mod_type                         = WeaponTreeMinionAddedLightningDamage
|stat_text                        = [[Minion|Minions]] deal 1 to 21 additional [[Lightning Damage]]
|stat1_id                         = minion_global_minimum_added_lightning_damage
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = minion_global_maximum_added_lightning_damage
|stat2_min                        = 21
|stat2_max                        = 21
|spawn_weight1_tag                = one_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = weapon_can_roll_minion_modifiers
|spawn_weight2_value              = 5000
|spawn_weight3_tag                = minion_unique_weapon
|spawn_weight3_value              = 5000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
}}
