{{Mod
|id                               = AbyssAvoidFreezeAndChillJewel1
|mod_groups                       = ChanceToAvoidFreezeAndChill
|domain                           = 13
|generation_type                  = 2
|required_level                   = 50
|name                             = of Warming
|mod_type                         = ChanceToAvoidFreezeAndChill
|stat_text                        = (31-40)% chance to Avoid being [[Freeze|Frozen]]
|stat1_id                         = base_avoid_freeze_%
|stat1_min                        = 31
|stat1_max                        = 40
|spawn_weight1_tag                = default
|spawn_weight1_value              = 300
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
