{{Passive skill
|id                                  = point_blank1182
|int_id                              = 42178
|name                                = Point Blank
|flavour_text                        = Look your foe in the eyes before you pierce him. Delight in his fear.
|is_keystone                         = True
|icon                                = KeystonePointBlankArcher
|stat1_id                            = keystone_point_blank
|stat1_value                         = 1
|stat_text                           = Projectile [[Attack]] [[Hit|Hits]] deal up to 30% more Damage to targets at the start of their movement, dealing less Damage to targets as the projectile travels farther
|connections                         = dexterity968
}}
