{{Mod
|id                               = FlaskImmuneToStunFreezeCursesUnique__1
|mod_groups                       = KiarasDeterminationBuff
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = KiarasDeterminationBuff
|stat_text                        = Immunity to Freeze, Chill, [[Curse|Curses]] and Stuns during Effect
|stat1_id                         = local_unique_flask_kiaras_determination
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = flask
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 8
}}
