{{Mod
|id                               = EinharMasterMinionDamageOnWeapon1h2
|mod_groups                       = WeaponCasterDamagePrefix
|domain                           = 9
|generation_type                  = 1
|required_level                   = 60
|name                             = Upgraded
|mod_type                         = MinionDamageOnWeapon
|stat_text                        = [[Minion|Minions]] deal (35-44)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 35
|stat1_max                        = 44
|tags                             = damage, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
