{{Mod
|id                               = V2SocketedTrapOrMineGemCorrupted
|mod_groups                       = IncreasedSocketedTrapOrMineGemLevel
|domain                           = 1
|generation_type                  = 5
|required_level                   = 20
|mod_type                         = IncreasedSocketedTrapOrMineGemLevel
|stat_text                        = +2 to [[Level]] of [[Item socket|Socketed]] [[Trap]] or [[Mine]] Gems
|stat1_id                         = local_socketed_trap_and_mine_gem_level_+
|stat1_min                        = 2
|stat1_max                        = 2
|spawn_weight1_tag                = armour
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
