{{Mod
|id                               = SpellAddedLightningDamageInfluence3
|mod_groups                       = SpellAddedLightningDamageUber
|domain                           = 1
|generation_type                  = 1
|required_level                   = 75
|name                             = Hunter's
|mod_type                         = SpellAddedLightningDamageUber
|stat_text                        = Adds (2-7) to (88-93) [[Lightning Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_lightning_damage
|stat1_min                        = 2
|stat1_max                        = 7
|stat2_id                         = spell_maximum_added_lightning_damage
|stat2_min                        = 88
|stat2_max                        = 93
|spawn_weight1_tag                = helmet_basilisk
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, lightning, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
