{{Mod
|id                               = SocketedAuraGemLevelsEssence1
|mod_groups                       = IncreaseSpecificSocketedGemLevel
|domain                           = 1
|generation_type                  = 2
|required_level                   = 63
|name                             = of the Essence
|mod_type                         = LocalIncreaseSocketedAuraLevel
|stat_text                        = +2 to [[Level]] of [[Item socket|Socketed]] Aura Gems
|stat1_id                         = local_socketed_aura_gem_level_+
|stat1_min                        = 2
|stat1_max                        = 2
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = aura, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
