{{Mod
|id                               = LocalWeaponMoreIgniteDamageUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = LocalWeaponMoreIgniteDamage
|mod_type                         = LocalWeaponMoreIgniteDamage
|game_mode                        = 0
|stat_text                        = [[Ignite|Ignites]] inflicted with this Weapon deal (50-75)% more Damage
|stat1_id                         = local_ignite_damage_+%_final_with_this_weapon
|stat1_min                        = 50
|stat1_max                        = 75
|tags                             = elemental, fire, attack, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
