{{Passive skill
|id                                  = affliction_notable_touch_of_cruelty
|int_id                              = 49273
|name                                = Touch of Cruelty
|is_notable                          = True
|icon                                = IncreasedChaosDamage
|stat1_id                            = chaos_skill_chance_to_hinder_on_hit_%
|stat1_value                         = 10
|stat2_id                            = hinder_enemy_chaos_damage_taken_+%
|stat2_value                         = 10
|stat_text                           = Chaos [[Spell|Spells]] have 10% chance to Hinder Enemies on [[Hit]]<br>Enemies Hindered by you take 10% increased [[Chaos Damage]]
}}
