{{Base item
|rarity_id                               = normal
|name                                    = Prejudice
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = One who is blinded by their past may only see a sliver of the present.
|drop_level                              = 80
|tags                                    = unique_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardPrejudice
|stack_size                              = 7
|description                             = {{c|unique|Item}}<br>{{c|default|Influenced Item}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
