{{Passive skill
|id                                  = spell_dot_2980
|int_id                              = 47085
|name                                = Spell Damage Over Time Multiplier and Duration
|icon                                = damagespells
|stat1_id                            = damage_over_time_multiplier_+_with_spells
|stat1_value                         = 4
|stat2_id                            = skill_effect_duration_+%
|stat2_value                         = 6
|stat_text                           = +4% to Damage Over Time Multiplier with [[Spell]] [[Skill|Skills]]<br>6% increased [[Skill]] Effect Duration
|connections                         = spell_dot_notable_2982,spell_dot_2978,spell_dot_notable_2982
}}
