{{Passive skill
|id                                  = affliction_notable_expansive_might
|int_id                              = 48925
|name                                = Expansive Might
|is_notable                          = True
|icon                                = MaceandStaffDamage
|stat1_id                            = mace_or_staff_hit_and_ailment_damage_+%
|stat1_value                         = 20
|stat2_id                            = aoe_+%_per_second_while_stationary_up_to_50
|stat2_value                         = 10
|stat_text                           = Mace, Sceptre or [[Staff]] [[Attack|Attacks]] deal 20% increased Damage with [[Hit|Hits]] and Ailments<br>10% increased Area of Effect per second you've been stationary, up to a maximum of 50%
}}
