{{Mod
|id                               = AddedChaosDamageUniqueBootsStrDex4
|mod_groups                       = ChaosDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChaosDamage
|stat_text                        = Adds (6-9) to (12-16) [[Chaos Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_chaos_damage
|stat1_min                        = 6
|stat1_max                        = 9
|stat2_id                         = attack_maximum_added_chaos_damage
|stat2_min                        = 12
|stat2_max                        = 16
|tags                             = chaos_damage, damage, chaos, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
