{{Mod
|id                               = DisplaySupportedByReducedManaUnique__1
|mod_groups                       = Supported
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportReducedMana
|mod_type                         = DisplaySupportedByReducedMana
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 15 Inspiration
|stat1_id                         = local_display_socketed_gems_supported_by_x_reduced_mana_cost
|stat1_min                        = 15
|stat1_max                        = 15
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
