{{Mod
|id                               = AddedLightningDamageQuiverEssence10__
|mod_groups                       = LightningDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 82
|name                             = Essences
|mod_type                         = LightningDamage
|stat_text                        = Adds (6-13) to (136-155) [[Lightning Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_lightning_damage
|stat1_min                        = 6
|stat1_max                        = 13
|stat2_id                         = attack_maximum_added_lightning_damage
|stat2_min                        = 136
|stat2_max                        = 155
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental_damage, damage, elemental, lightning, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
