{{Passive skill
|id                                  = totem_ranged_notable2670
|int_id                              = 15290
|name                                = Watchtowers
|is_notable                          = True
|icon                                = RangedTotemOffensive
|stat1_id                            = totem_damage_+%
|stat1_value                         = 24
|stat2_id                            = attack_skills_additional_ballista_totems_allowed
|stat2_value                         = 1
|stat3_id                            = movement_velocity_+%_per_totem
|stat3_value                         = 1
|stat_text                           = 24% increased [[Totem]] Damage<br>[[Attack]] [[Skill|Skills]] have +1 to maximum number of Summoned Ballista [[Totem|Totems]]<br>1% increased [[Movement Speed]] per Summoned [[Totem]]
|connections                         = mastery_totem233,totem_ranged_crits2681,totem_ranged_damage2668
}}
