{{Base item
|rarity_id                               = normal
|name                                    = The Unexpected Prize
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = They came from far and wide under a common banner.<br>They sought companionship and competition,<br>but found a treasure none had foreseen.
|drop_level                              = 68
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheUnexpectedPrize
|stack_size                              = 2
|description                             = {{c|unique|Attribute Transforming Jewel}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
