{{Mod
|id                               = ReflectedPhysicalDamageRingInfluence1
|mod_groups                       = ReflectedDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = Hunter's
|mod_type                         = ReducedPhysicalReflectTaken
|stat_text                        = You and your [[Minion|Minions]] take (45-31)% reduced Reflected [[Physical Damage]]
|stat1_id                         = physical_reflect_damage_taken_and_minion_physical_reflect_damage_taken_+%
|stat1_min                        = -45
|stat1_max                        = -31
|spawn_weight1_tag                = ring_basilisk
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = physical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
