{{Mod
|id                               = CounterAttacksAddedColdDamageUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CounterAttacksAddedColdDamage
|mod_type                         = CounterAttacksAddedColdDamage
|game_mode                        = 0
|stat_text                        = Adds 250 to 300 [[Cold Damage]] to Retaliation [[Skill|Skills]]
|stat1_id                         = counter_attacks_minimum_added_cold_damage
|stat1_min                        = 250
|stat1_max                        = 250
|stat2_id                         = counter_attacks_maximum_added_cold_damage
|stat2_min                        = 300
|stat2_max                        = 300
|tags                             = elemental_damage, damage, elemental, cold, attack
}}
