{{Base item
|rarity_id                               = normal
|name                                    = The Bear Woman
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = For the blessed bear in the cave,<br>A hundred days pass in silence and darkness,<br>until moon begins its fourth passage,<br>the bear sheds her beastly fur,<br>and is reborn, human and whole.
|drop_level                              = 80
|tags                                    = armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheBearWoman
|stack_size                              = 6
|description                             = {{c|magic|Fecund Ursine Pelt}}<br>{{c|default|Warlord Item}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
