{{Item
|rarity_id                               = normal
|name                                    = Essence Scarab of Adaptation
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The crystalline lattice expands in directions alien to the mortal mind.
|drop_level                              = 78
|tags                                    = scarab, scarab_grants_extra_content, essence_scarab, mythic_scarab, default
|metadata_id                             = Metadata/Items/Scarabs/ScarabEssence5
|help_text                               = Can be used in a personal Map Device to add modifiers to a Map.
|stack_size                              = 20
|description                             = Imprisoned Monsters released in Areas grant a random Essence Modifier to another Imprisoned Monster in the Area<br>Imprisoned Monsters in Areas have increased Difficulty and Reward for<br>each Essence Modifier
|stack_size_currency_tab                 = 5000
|map_fragment_bonus1                     = ScarabEssence5
}}
